jobName,description,,cron,failover,jobProperties,monitorPort,jobType,shardingItemParameters,jobShardingStrategyClass,overwrite,shardingTotalCount,jobParameter,misfire,monitorExecution,maxTimeDiffSeconds,jobClass,disabled,streamingProcess
invChargeBillsPullDataJob,仓库操作费生成任务,invChargeBillsPullDataJob(仓库操作费生成任务),0 0 1 * * ?,FALSE,"{'job_exception_handler': 'com.dangdang.ddframe.job.executor.handler.impl.DefaultJobExceptionHandler', 'executor_service_handler': 'com.dangdang.ddframe.job.executor.handler.impl.DefaultExecutorServiceHandler'}",-1,SIMPLE,,,FALSE,1,,TRUE,TRUE,-1,t8t.scm.sup.task.job.InvChargeBillsPullDataJob,FALSE,
invMomentGoodsRecordJob,记录每个月底库存信息生成任务,invMomentGoodsRecordJob(记录每个月底库存信息生成任务),0 0 1 * * ?,FALSE,"{'job_exception_handler': 'com.dangdang.ddframe.job.executor.handler.impl.DefaultJobExceptionHandler', 'executor_service_handler': 'com.dangdang.ddframe.job.executor.handler.impl.DefaultExecutorServiceHandler'}",-1,SIMPLE,,,FALSE,1,,TRUE,TRUE,-1,t8t.scm.sup.task.job.InvMomentGoodsRecordJob,FALSE,
invRentBillsPullDataJob,仓库租赁费生成任务,invRentBillsPullDataJob(仓库租赁费生成任务),0 0 23 L * ?,FALSE,"{'job_exception_handler': 'com.dangdang.ddframe.job.executor.handler.impl.DefaultJobExceptionHandler', 'executor_service_handler': 'com.dangdang.ddframe.job.executor.handler.impl.DefaultExecutorServiceHandler'}",-1,SIMPLE,,,FALSE,1,,TRUE,TRUE,-1,t8t.scm.sup.task.job.InvRentBillsPullDataJob,FALSE,
invRmPacketOrderPullDataJob,出库拆包费生成任务,invRmPacketOrderPullDataJob(出库拆包费生成任务),0 0 23 L * ?,FALSE,"{'job_exception_handler': 'com.dangdang.ddframe.job.executor.handler.impl.DefaultJobExceptionHandler', 'executor_service_handler': 'com.dangdang.ddframe.job.executor.handler.impl.DefaultExecutorServiceHandler'}",-1,SIMPLE,,,FALSE,1,,TRUE,TRUE,-1,t8t.scm.sup.task.job.InvRmPacketOrderPullDataJob,FALSE,
invStorageRecordPullDataJob,库存记录拉取数据任务,invStorageRecordPullDataJob(库存记录拉取数据任务),0 0 1 * * ?,FALSE,"{'job_exception_handler': 'com.dangdang.ddframe.job.executor.handler.impl.DefaultJobExceptionHandler', 'executor_service_handler': 'com.dangdang.ddframe.job.executor.handler.impl.DefaultExecutorServiceHandler'}",-1,SIMPLE,,,FALSE,1,,TRUE,TRUE,-1,t8t.scm.sup.task.job.InvStorageRecordPullDataJob,FALSE,
costRecJob,每月拉取采购对账信息,costRecJob(每月拉取采购对账信息),0 0 0 1 * ?,FALSE,"{'executor_service_handler': 'com.dangdang.ddframe.job.executor.handler.impl.DefaultExecutorServiceHandler', 'job_exception_handler': 'com.dangdang.ddframe.job.executor.handler.impl.DefaultJobExceptionHandler'}",-1,SIMPLE,,,,1,,TRUE,TRUE,-1,t8t.scm.rem.task.job.CostRecJob,,FALSE
costRecOfflineJob,每月拉取费用对账(线下补录）信息,costRecOfflineJob(每月拉取费用对账(线下补录）信息),0 0 0 3 * ?,FALSE,"{'job_exception_handler': 'com.dangdang.ddframe.job.executor.handler.impl.DefaultJobExceptionHandler', 'executor_service_handler': 'com.dangdang.ddframe.job.executor.handler.impl.DefaultExecutorServiceHandler'}",-1,SIMPLE,,,FALSE,1,,TRUE,TRUE,-1,t8t.scm.rem.task.job.CostRecOfflineJob,FALSE,
reconciliationJob,每月拉取采购对账信息,reconciliationJob(每月拉取采购对账信息),0 0 2 1 * ?,FALSE,"{'executor_service_handler': 'com.dangdang.ddframe.job.executor.handler.impl.DefaultExecutorServiceHandler', 'job_exception_handler': 'com.dangdang.ddframe.job.executor.handler.impl.DefaultJobExceptionHandler'}",-1,SIMPLE,,,,1,,TRUE,TRUE,-1,t8t.scm.rem.task.job.ReconciliationJob,,FALSE
